Sample,,,,,,,PFBA Results,,,,,,,,,13C4-PFBA Results,,,,,,,,,PFPeA Results,,,,,,,,,13C5-PFPeA Results,,,,,,,,,HFPO-DA Results,,,,,,,,,13C3-HFPO-DA Results,,,,,,,,,PFBS Results,,,,,,,,,13C3-PFBS Results,,,,,,,,,PFHxA Results,,,,,,,,,13C5-PFHxA Results,,,,,,,,,4:2 FTS Results,,,,,,,,,13C2-4:2FTS Results,,,,,,,,,PFPeS Results,,,,,,,,,PFPHpA Results,,,,,,,,,13C4-PFHpA Results,,,,,,,,,ADONA Results,,,,,,,,,PFHxS Results,,,,,,,,,13C3-PFHxS Results,,,,,,,,,PFOA Results,,,,,,,,,13C8-PFOA Results,,,,,,,,,6:2 FTS Results,,,,,,,,,13C2-6:2FTS Results,,,,,,,,,PFHpS Results,,,,,,,,,PFNA Results,,,,,,,,,13C9-PFNA Results,,,,,,,,,PFOSA Results,,,,,,,,,PFOS Results,,,,,,,,,13C8-PFOSA Results,,,,,,,,,13C8-PFOS Results,,,,,,,,,NMeFOSA Results,,,,,,,,,PFDA Results,,,,,,,,,D3-NMeFOSA Results,,,,,,,,,13C6-PFDA Results,,,,,,,,,NEtFOSA Results,,,,,,,,,8:2 FTS Results,,,,,,,,,13C2-8:2FTS Results,,,,,,,,,9Cl-PF3ONS Results,,,,,,,,,D5-NEtFOSA Results,,,,,,,,,PFNS Results,,,,,,,,,PFUnA Results,,,,,,,,,NMeFOSAA Results,,,,,,,,,13C7-PFUnA Results,,,,,,,,,D3-NMeFOSAA Results,,,,,,,,,NEtFOSAA Results,,,,,,,,,D5-NEtFOSAA Results,,,,,,,,,PFDS Results,,,,,,,,,PFDoA Results,,,,,,,,,13C2-PFDoA Results,,,,,,,,,NMeFOSE Results,,,,,,,,,D7-NMeFOSE Results,,,,,,,,,NEtFOSE Results,,,,,,,,,11Cl-PF3OUdS Results,,,,,,,,,D9-NEtFOSE Results,,,,,,,,,PFTrDA Results,,,,,,,,,PFTeDA Results,,,,,,,,,13C2-PFTeDA Results,,,,,,,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy,RT,Final Conc.,Calc. Conc.,Surrogate % Recovery,ISTD Conc. Ratio,Area,S/N,RR,Accuracy
!,!,Rinse-1,TestCal1.d,Sample,,8/28/2025 12:05 PM,3.269,61.0182,61.0182,,12.2,10,3.42,4.5958,,3.108,20.1687,20.1687,201.7,4.0,2,3.44,4.5257,,4.495,678.8211,678.8211,,271.5,49,2.45,113.9190,,4.374,0.9051,0.9051,18.1,0.4,0,1.13,0.2428,,5.014,32.3394,32.3394,,12.9,17,2.85,5.3731,,5.126,10.4333,10.4333,104.3,4.2,3,1.99,1.7950,,5.081,405.0610,405.0610,,162.0,135,5.02,60.6746,,5.094,1.1768,1.1768,47.1,0.5,2,2.90,0.9585,,5.362,10706.8335,10706.8335,,4282.7,4750,9.82,1818.1702,,5.004,3.5456,3.5456,141.8,1.4,3,5.74,1.4880,,4.848,0.0409,0.0409,,0.0,2,6.96,0.0300,,4.687,804.1009,804.1009,16082.0,321.6,70,14.21,30.2947,,5.544,0.1757,0.1757,,0.1,3,5.96,0.0331,,5.839,4.4070,4.4070,,1.8,1011,9.80,0.7128,,5.152,2148.8520,2148.8520,85954.1,859.5,1419,294.22,808.0510,,5.615,599.4121,599.4121,,239.8,810,9.85,257.0071,,5.782,1.3371,1.3371,,0.5,16,1.20,0.2024,,5.884,63.8573,63.8573,2554.3,25.5,77,19.52,33.2620,,6.319,104310.6649,104310.6649,,41724.3,17242,369.63,15603.4054,,5.885,0.0121,0.0121,0.5,0.0,1,5.60,0.0618,,6.109,224.2515,224.2515,,89.7,862,293.34,99.8039,,5.850,161.7499,161.7499,3235.0,64.7,9,2.58,3.7162,,6.325,4.8693,4.8693,,1.9,7,2.65,0.9091,,6.786,2145.0877,2145.0877,,1716.1,2460,103.66,2381.2091,,6.330,0.8985,0.8985,71.9,0.7,1,14.93,0.6978,,8.610,19.5197,19.5197,,7.8,0,3.50,2.9138,,6.787,0.8385,0.8385,,0.3,1,2.46,0.1364,,8.443,0.0202,0.0202,0.8,0.0,0,3.21,0.0320,,6.847,4.0753,4.0753,163.0,1.6,8,3.95,1.6432,,10.243,6.6844,6.6844,,2.7,3,3.34,1.7519,,7.178,14893.6280,14893.6280,,11914.9,1900,154.84,4298.1790,,9.879,0.7593,0.7593,30.4,0.3,2,1.70,0.3466,,6.723,1.1718,1.1718,93.7,0.9,0,1.96,1.7452,,10.081,24.6053,24.6053,,4.9,1,2.01,0.9858,,6.446,2.3983,2.3983,,1.0,2,15.75,0.9272,,6.533,53.5156,53.5156,1070.3,21.4,3,3.19,1.1252,,6.996,2.0282,2.0282,,0.8,5,5.39,1.5232,,10.295,0.6440,0.6440,12.9,0.3,1,1.52,0.3147,,7.164,2.3723,2.3723,,0.9,3,6.12,0.4430,,7.519,7560.4939,7560.4939,,6048.4,786,118.11,2744.2644,,6.678,4.9387,4.9387,,2.0,3,25.29,0.7703,,6.994,0.8471,0.8471,67.8,0.7,0,1.93,1.1309,,6.644,11.3179,11.3179,226.4,4.5,4,19.79,0.9274,,6.915,19.1809,19.1809,,7.7,1,28.86,2.9987,,6.931,1.1935,1.1935,23.9,0.5,0,4.25,0.0907,,7.566,0.5713,0.5713,,0.2,1,5.86,0.1025,,7.863,,,,0.0,1750,280.00,2433.1333,,7.363,1.7146,1.7146,137.2,1.4,1,9.88,2.8396,,9.821,3.5620,3.5620,,1.4,1,6.04,0.6366,,9.906,1.6101,1.6101,6.4,0.6,2,5.01,0.3648,,10.109,0.2234,0.2234,,0.1,3,2.85,0.0398,,7.868,0.3558,0.3558,,0.1,0,9.30,0.1354,,10.139,65.0148,65.0148,260.1,26.0,79,8.21,16.9367,,7.751,166.7085,166.7085,,133.4,2,2.78,27.9677,,8.081,,,,0.0,6,15.83,94.6694,,8.069,0.0847,0.0847,6.8,0.1,0,5.18,0.2633,
!,!,Rinse-2,TestCal2.d,Sample,,8/28/2025 12:21 PM,3.419,29.4931,29.4931,,5.9,2,2.48,2.2214,,3.217,4.6117,4.6117,46.1,0.9,1,15.67,1.0348,,4.311,37.7104,37.7104,,15.1,6,17.01,6.3285,,4.263,28.3190,28.3190,566.4,11.3,1,9.87,7.5960,,5.122,7.2212,7.2212,,2.9,1,12.17,1.2013,,5.167,55.9867,55.9867,559.9,22.4,1,18.14,9.6321,,4.990,2.2479,2.2479,,0.9,0,4.37,0.3516,,5.011,1.4845,1.4845,59.4,0.6,1,5.33,1.2092,,5.436,9833.7945,9833.7945,,3933.5,294,313.99,1669.9160,,4.954,3.4095,3.4095,136.4,1.4,0,2.99,1.4309,,4.757,1.4445,1.4445,,0.6,1,9.13,1.0562,,4.836,25.8770,25.8770,517.5,10.4,1,5.16,0.9749,,5.652,3.1391,3.1391,,1.3,1,20.47,0.5924,,5.435,7.9820,7.9820,,3.2,6,3.71,1.2910,,5.431,96.8905,96.8905,3875.6,38.8,4,54.21,36.4345,,5.805,3.8546,3.8546,,1.5,2,29.50,1.6527,,6.111,2.5598,2.5598,,1.0,0,2.47,0.3875,,6.074,2.6712,2.6712,106.8,1.1,1,8.50,1.3914,,5.824,65.7319,65.7319,,26.3,27,2.71,9.8326,,5.786,0.3288,0.3288,13.2,0.1,3,11.98,1.6813,,5.400,11.8264,11.8264,,4.7,1,2.61,5.2634,,5.693,13.3118,13.3118,266.2,5.3,0,1.74,0.3058,,6.523,1.7975,1.7975,,0.7,1,2.45,0.3356,,6.228,59.8821,59.8821,,47.9,6,49.40,20.2717,,6.322,1.7466,1.7466,139.7,1.4,0,3.35,1.3564,,8.477,29.6892,29.6892,,11.9,1,8.59,4.4703,,6.803,1.8443,1.8443,,0.7,1,7.50,0.3000,,8.468,0.5488,0.5488,22.0,0.2,0,3.33,0.8671,,7.061,11.9124,11.9124,476.5,4.8,2,22.06,4.8031,,10.011,1.8972,1.8972,,0.8,0,24.34,0.4961,,6.596,2.9546,2.9546,,2.4,2,13.52,0.8527,,9.896,3.9586,3.9586,158.3,1.6,1,4.67,1.8069,,6.469,4.1073,4.1073,328.6,3.3,3,6.51,6.1167,,10.222,17.3832,17.3832,,3.5,2,3.81,0.6952,,6.635,2.1949,2.1949,,0.9,0,1.15,0.8487,,6.500,18.6188,18.6188,372.4,7.4,0,1.71,0.3915,,7.275,1.9571,1.9571,,0.8,2,13.69,1.4699,,10.245,13.7957,13.7957,275.9,5.5,2,16.44,6.7405,,7.271,1.4377,1.4377,,0.6,0,1.53,0.2687,,7.000,6.8317,6.8317,,5.5,3,13.33,2.4797,,6.645,23.5322,23.5322,,9.4,1,1.72,3.6206,,7.167,2.4486,2.4486,195.9,2.0,1,1.39,3.2687,,6.668,6.7683,6.7683,135.4,2.7,0,2.73,0.5546,,6.882,6.1264,6.1264,,2.5,3,5.44,0.9839,,6.906,98.7134,98.7134,1974.3,39.5,3,13.26,7.5003,,7.533,1.2224,1.2224,,0.5,0,1.47,0.2195,,7.334,9.0383,9.0383,,7.2,2,10.71,2.8631,,7.264,0.9882,0.9882,79.1,0.8,1,1.80,1.6367,,9.837,7.7209,7.7209,,3.1,2,4.93,1.3695,,9.889,21.5099,21.5099,86.0,8.6,2,7.09,4.8738,,10.233,1.1102,1.1102,,0.4,2,2.01,0.1976,,7.968,0.6577,0.6577,,0.3,0,5.05,0.2505,,10.271,121.3533,121.3533,485.4,48.5,11,1.21,31.6132,,7.702,,,,0.0,10,4.49,50.3280,,8.065,18.8616,18.8616,,15.1,1,10.65,5.6999,,7.970,0.1554,0.1554,12.4,0.1,0,2.37,0.4829,
,!,Blank,TestCal3.d,Blank,,8/28/2025 12:36 PM,3.319,0.0002,0.0002,,0.0,1,11.26,0.0000,,3.208,9.9044,9.9044,99.0,2.0,34114,119892.15,2.2225,,4.300,0.0063,0.0063,,0.0,22,10.17,0.0011,,4.307,4.5026,4.5026,90.1,1.8,20441,36598.66,1.2077,,5.122,0.0017,0.0017,,0.0,8,51.73,0.0003,,5.118,9.8958,9.8958,99.0,4.0,28814,6194.62,1.7025,,4.983,0.0039,0.0039,,0.0,4,25.11,0.0006,,4.986,2.2766,2.2766,91.1,0.9,6626,1331.50,1.8543,,4.925,0.0072,0.0072,,0.0,22,251.88,0.0012,,4.938,2.5464,2.5464,101.9,1.0,18086,3807.68,1.0687,,4.749,0.0031,0.0031,,0.0,2,20.13,0.0023,,4.753,5.3106,5.3106,106.2,2.1,715,2752.24,0.2001,,5.643,0.0017,0.0017,,0.0,1,16.33,0.0003,,5.444,0.0084,0.0084,,0.0,24,14.02,0.0014,,5.423,2.7544,2.7544,110.2,1.1,17530,10987.64,1.0358,,5.434,0.0004,0.0004,,0.0,5,35.06,0.0002,,5.996,0.0186,0.0186,,0.0,13,25.89,0.0028,,5.991,2.5103,2.5103,100.4,1.0,4672,12684.38,1.3076,,5.849,0.0194,0.0194,,0.0,40,3.04,0.0029,,5.844,2.5151,2.5151,100.6,1.0,13731,59921.90,12.8614,,5.697,0.0046,0.0046,,0.0,1,9.50,0.0021,,5.669,7.2784,7.2784,145.6,2.9,598,2483.39,0.1672,,6.358,0.0013,0.0013,,0.0,1,10.96,0.0002,,6.145,0.0025,0.0025,,0.0,3,14.59,0.0008,,6.232,1.2895,1.2895,103.2,1.0,4318,13186.51,1.0015,,8.486,0.0123,0.0123,,0.0,23,415.19,0.0018,,6.811,0.0315,0.0315,,0.0,20,76.36,0.0051,,8.483,2.1041,2.1041,84.2,0.8,12807,45066.16,3.3245,,6.798,2.5471,2.5471,101.9,1.0,3956,10430.53,1.0270,,9.886,0.0007,0.0007,,0.0,1,46.91,0.0002,,6.694,0.0008,0.0008,,0.0,1,26.85,0.0002,,9.904,1.9920,1.9920,79.7,0.8,3503,8293.84,0.9093,,6.609,1.2521,1.2521,100.2,1.0,5172,28580.17,1.8646,,10.214,0.0008,0.0008,,0.0,0,5.29,0.0000,,6.406,0.0013,0.0013,,0.0,0,1.41,0.0005,,6.426,7.1247,7.1247,142.5,2.8,535,1179.01,0.1498,,7.233,0.0000,0.0000,,0.0,0,3.86,0.0000,,10.245,1.9690,1.9690,39.4,0.8,3706,26370.87,0.9621,,7.271,0.0011,0.0011,,0.0,1,15.02,0.0002,,7.017,0.0002,0.0002,,0.0,0,11.57,0.0001,,6.768,0.0007,0.0007,,0.0,0,0.94,0.0001,,6.986,1.3434,1.3434,107.5,1.1,4974,12098.95,1.7934,,6.668,5.1904,5.1904,103.8,2.1,1638,17305.29,0.4253,,6.891,0.0096,0.0096,,0.0,3,16.43,0.0016,,6.841,5.4989,5.4989,110.0,2.2,1610,3807.92,0.4178,,7.566,0.0006,0.0006,,0.0,0,3.64,0.0001,,7.425,0.0085,0.0085,,0.0,15,10.72,0.0027,,7.347,1.2416,1.2416,99.3,1.0,5703,8240.35,2.0563,,9.887,0.0011,0.0011,,0.0,4,2.15,0.0002,,9.781,23.0634,23.0634,92.3,9.2,20131,11571.34,5.2258,,10.216,0.0002,0.0002,,0.0,1,0.99,0.0000,,7.960,0.0001,0.0001,,0.0,1,9.99,0.0000,,10.122,25.0230,25.0230,100.1,10.0,25112,7492.28,6.5186,,7.702,0.0018,0.0018,,0.0,3,44.29,0.0004,,8.073,0.0036,0.0036,,0.0,9,27.08,0.0011,,8.060,0.9258,0.9258,74.1,0.7,7978,16289.93,2.8765,
,!,CS1,TestCal4.d,Cal,L1,8/28/2025 12:51 PM,3.219,0.6311,0.6311,,0.1,736,238.06,0.0238,78.9,3.217,10.0132,10.0132,100.1,2.0,30960,96250.02,2.2469,100.1,4.311,0.3095,0.3095,,0.1,460,114.70,0.0260,77.4,4.307,4.9123,4.9123,98.2,2.0,17729,46889.57,1.3176,98.2,5.129,0.6620,0.6620,,0.1,631,2212.54,0.0275,82.7,5.126,9.9049,9.9049,99.0,4.0,22928,139377.62,1.7041,99.0,4.990,0.1485,0.1485,,0.1,131,177.43,0.0232,74.2,4.986,2.5565,2.5565,102.3,1.0,5636,30777.50,2.0823,102.3,4.933,0.1701,0.1701,,0.1,405,564.60,0.0289,85.0,4.938,2.4841,2.4841,99.4,1.0,14027,39663.95,1.0425,99.4,4.757,0.4595,0.4595,,0.1,85,383.26,0.1683,57.4,4.753,4.9375,4.9375,98.8,2.0,503,2436.93,0.1860,98.8,5.536,0.1570,0.1570,,0.1,108,467.20,0.0296,78.5,5.419,0.1569,0.1569,,0.1,314,66.66,0.0254,78.4,5.423,2.4447,2.4447,97.8,1.0,12369,15936.74,0.9193,97.8,5.583,0.6510,0.6510,,0.1,1600,1241.04,0.0698,81.4,5.996,0.1396,0.1396,,0.1,77,176.78,0.0211,69.8,5.991,2.5881,2.5881,103.5,1.0,3649,10887.66,1.3481,103.5,5.840,0.2506,0.2506,,0.1,341,4.21,0.0375,125.3,5.844,2.5392,2.5392,101.6,1.0,9087,26696.85,12.9846,101.6,5.664,0.7788,0.7788,,0.2,55,112.22,0.1733,97.3,5.660,5.1325,5.1325,102.7,2.1,319,771.63,0.1179,102.7,6.408,0.1643,0.1643,,0.1,93,165.35,0.0307,82.2,6.236,0.1806,0.1806,,0.1,139,42.75,0.0571,90.3,6.232,1.1837,1.1837,94.7,0.9,2440,555.66,0.9193,94.7,8.486,0.1703,0.1703,,0.1,275,1300.40,0.0250,85.2,6.803,0.1451,0.1451,,0.1,71,243.11,0.0236,72.5,8.483,2.4804,2.4804,99.2,1.0,11010,102375.17,3.9190,99.2,6.798,2.6638,2.6638,106.6,1.1,3017,15725.41,1.0741,106.6,9.903,0.1556,0.1556,,0.1,124,13.27,0.0407,77.8,6.620,0.1632,0.1632,,0.1,137,25.23,0.0471,81.6,9.904,2.3782,2.3782,95.1,1.0,3050,592.99,1.0855,95.1,6.609,1.1391,1.1391,91.1,0.9,2920,5965.32,1.6964,91.1,10.263,0.1398,0.1398,,0.1,36,97.41,0.0111,69.9,6.414,1.0944,1.0944,,0.2,57,225.86,0.2119,136.8,6.426,4.7134,4.7134,94.3,1.9,268,1091.84,0.0991,94.3,7.086,0.5862,0.5862,,0.1,2526,508.86,0.1102,73.3,10.245,2.3785,2.3785,47.6,1.0,3265,654.10,1.1621,95.1,7.189,0.1296,0.1296,,0.1,73,323.11,0.0243,64.8,6.984,0.1653,0.1653,,0.1,165,30.22,0.0600,82.6,6.661,0.2115,0.2115,,0.0,20,81.01,0.0165,105.7,6.978,1.1948,1.1948,95.6,1.0,2745,6793.10,1.5950,95.6,6.668,5.1271,5.1271,102.5,2.1,1180,3982.31,0.4201,102.5,6.849,0.1231,0.1231,,0.0,11,24.30,0.0100,61.5,6.841,4.9853,4.9853,99.7,2.0,1064,4970.52,0.3788,99.7,7.550,0.1583,0.1583,,0.1,86,152.71,0.0284,79.1,7.351,0.1563,0.1563,,0.1,166,24.38,0.0496,78.1,7.347,1.1737,1.1737,93.9,0.9,3346,3815.63,1.9439,93.9,9.804,1.2600,1.2600,,0.1,360,286.91,0.0227,63.0,9.781,24.9909,24.9909,100.0,10.0,15909,12414.29,5.6626,100.0,10.150,1.3583,1.3583,,0.1,449,82.65,0.0242,67.9,7.827,0.5787,0.5787,,0.1,1262,4289.95,0.0551,72.3,10.122,25.3420,25.3420,101.4,10.1,18547,3256.63,6.6017,101.4,7.718,0.1366,0.1366,,0.1,199,1417.76,0.0331,68.3,8.057,0.1597,0.1597,,0.1,295,60.77,0.0491,79.8,8.060,1.1264,1.1264,90.1,0.9,6024,17257.79,3.5000,90.1
