Sample;;;;;;;13C4-PFBA Results;;;;PFBA Results;;;;13C5-PFPeA Results;;;;PFPeA Results;;;;4:2 FTS Results;;;;13C2-4:2FTS Results;;;;13C5-PFHxA Results;;;;PFHxA Results;;;;13C3-PFBS Results;;;;PFBS Results;;;;13C3-HFPO-DA Results;;;;HFPO-DA Results;;;;PFPHpA Results;;;;13C4-PFHpA Results;;;;PFPeS Results;;;;ADONA Results;;;;6:2 FTS Results;;;;13C2-6:2FTS Results;;;;13C8-PFOA Results;;;;PFOA Results;;;;PFHxS Results;;;;13C3-PFHxS Results;;;;PFNA Results;;;;13C9-PFNA Results;;;;PFHpS Results;;;;8:2 FTS Results;;;;13C2-8:2FTS Results;;;;13C6-PFDA Results;;;;PFDA Results;;;;D3-NMeFOSAA Results;;;;NMeFOSAA Results;;;;PFOS Results;;;;13C8-PFOS Results;;;;D5-NEtFOSAA Results;;;;NEtFOSAA Results;;;;PFUnA Results;;;;13C7-PFUnA Results;;;;9Cl-PF3ONS Results;;;;PFNS Results;;;;PFDoA Results;;;;13C2-PFDoA Results;;;;PFDS Results;;;;PFTrDA Results;;;;11Cl-PF3OUdS Results;;;;13C2-PFTeDA Results;;;;PFTeDA Results;;;;PFOSA Results;;;;13C8-PFOSA Results;;;;D7-NMeFOSE Results;;;;NMeFOSE Results;;;;NMeFOSA Results;;;;D3-NMeFOSA Results;;;;NEtFOSA Results;;;;D9-NEtFOSE Results;;;;NEtFOSE Results;;;;D5-NEtFOSA Results;;;
;;Name;Data File;Type;Level;Acq. Date-Time;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N
!;!;KCS;11.d;Sample;;6/23/2025 5:08 PM;3.208;10.0047;;44049.21;3.211;9.1681;;2610.42;4.296;5.1397;;13529.53;4.292;10.0712;;17660.82;4.74;11.3703;;8873.07;4.744;3.8216;;3324.03;4.93;2.4932;;31839.8;4.925;9.2663;;13208.02;4.987;2.5419;;10141.79;4.983;9.105;;4484.25;5.118;10.3937;;9881.52;5.122;2.3158;;7768.73;5.421;10.0066;;8906.14;5.415;2.5051;;4945.82;5.536;9.0583;;150369.92;5.583;2.1836;;10806.23;5.664;10.4519;;8640.52;5.669;4.0005;;8870.97;5.844;2.4829;;38901.57;5.848;11.2825;;1907.7;5.996;9.4207;;2236.08;5.999;2.5126;;810.11;6.236;10.5935;;9391.71;6.232;1.2701;;984.71;6.416;10.837;;45195.77;6.43;21.7001;;9859.42;6.426;4.1922;;14500.19;6.617;1.3308;;73064.53;6.621;8.7862;;3502.4;6.677;4.9307;;9499.33;6.686;4.7649;;26205.96;6.812;8.8394;;2567.91;6.814;2.5621;;8883.82;6.857;5.2609;;9297.69;6.866;8.4571;;1230.57;6.992;19.6972;;4416.04;6.995;1.3007;;9502.76;7.102;2.3386;;33141.92;7.197;8.8838;;5396.8;7.359;9.0817;;3306.71;7.364;1.2977;;28861.63;7.567;9.1485;;13336.85;7.727;9.18;;14469.43;7.852;0.5695;;8055.31;8.077;1.3065;;10512.38;8.082;9.1927;;3176.65;8.494;15.3201;;4943.01;8.5;2.4789;;18309.54;9.724;24.3078;;3707.44;9.738;0.0524;;13.82;9.762;0.001;;14.71;9.855;2.3943;;651.64;10.04;0.001;;4.83;10.073;22.8942;;10102.98;10.092;0.0555;;11.67;10.195;2.387;;8469.59
;!;QC std;12.d;Sample;;6/23/2025 5:23 PM;3.208;9.9139;;10522.75;3.211;9.1143;;9909.53;4.296;5.0454;;6767.81;4.301;5.0246;;5998.86;4.749;10.8407;;9852.43;4.744;3.9823;;6327.65;4.93;2.4949;;17800.97;4.934;2.2719;;5933.85;4.987;2.7067;;16909.85;4.983;2.2812;;8119.07;5.118;10.0931;;22322.31;5.122;2.3046;;5835.65;5.421;2.5477;;1347.13;5.423;2.4488;;68722.01;5.544;2.2372;;6442.01;5.583;2.2469;;11265.78;5.664;11.1091;;17037.61;5.669;4.1041;;4601.32;5.844;2.3608;;50398.91;5.84;2.2705;;152.87;5.996;2.2266;;583.05;5.999;2.6172;;5911.15;6.236;2.3726;;2377.07;6.232;1.2024;;7352.8;6.416;2.8617;;8200.65;6.43;21.4602;;5892.26;6.435;4.3116;;5765.16;6.617;1.2188;;9203.3;6.612;2.2769;;2148.54;6.677;4.9768;;10737.64;6.678;1.0981;;11323.34;6.82;2.3773;;8233.18;6.814;2.4412;;17847.82;6.857;5.0959;;931.04;6.858;2.0528;;318.42;6.992;5.0318;;1501.15;6.995;1.2599;;9331.11;7.102;2.3491;;7399.55;7.197;2.3581;;616.04;7.359;2.2908;;678.66;7.364;1.2315;;5456.62;7.575;2.3105;;5717.08;7.727;2.2115;;4518.3;7.852;0.571;;9310.74;8.077;1.2343;;7041.21;8.082;2.2427;;1927.53;8.503;2.5467;;8208.74;8.5;2.4652;;5194.67;9.724;22.972;;68999.79;9.746;67.7119;;1410.6;9.861;2.2611;;553.94;9.855;2.3318;;1107.26;10.048;2.0617;;6200.22;10.073;22.4672;;11654.04;10.1;65.3742;;18141.69;10.204;2.296;;754.52
!;!;Sib 1 d 2h;13.d;Sample;;6/23/2025 5:38 PM;3.233;10.0843;;8372.46;3.236;0.0109;;11.64;4.296;5.053;;30442.18;4.312;0.0081;;9.9;4.757;0.0051;;23.55;4.744;3.2362;;13203.07;4.93;2.4658;;5787.44;4.934;0.0086;;12.43;4.987;2.6368;;21646.89;4.974;0.0114;;209.16;5.118;9.9462;;5189.82;5.122;0.0009;;16.23;5.446;0.003;;9.99;5.423;2.4153;;5036.03;5.503;0.0002;;8.59;5.624;0.0001;;4.7;5.689;0.0036;;5.76;5.669;3.2937;;11365.33;5.844;2.706;;69690.26;5.848;0.0203;;3.63;5.979;0.0155;;50.36;5.991;2.5046;;9031.99;6.228;0.0257;;16.64;6.232;1.2933;;5733.18;6.243;0.0007;;1.12;6.274;0.02;;1.46;6.435;1.8361;;1958.21;6.617;1.2751;;2940.08;6.621;0.0038;;2;6.677;1.251;;184.86;6.694;0.0054;;8.49;6.787;0.0304;;62.23;6.806;2.4055;;8155.29;6.857;0.7548;;2681.49;6.891;0.0157;;12.84;7.001;0.0318;;3.13;6.995;0.4516;;2392.96;7.127;0.0001;;3.82;7.304;0.0012;;13.73;7.474;0.0726;;1.08;7.355;0.0969;;495.45;7.6;0.0004;;4.97;7.735;0.0085;;5.26;7.902;0.0001;;8.69;8.085;0.1227;;865.62;7.998;0.0558;;4.17;8.494;0.0078;;185.28;8.5;1.6352;;3929.66;9.724;1.2172;;903.76;9.754;0.5861;;45.51;9.828;0.0165;;60.94;9.855;0.2416;;1206.31;10.181;0.0468;;7.58;10.073;0.6209;;564.91;10.1;1.2155;;14.12;10.204;0.1152;;692.74
!;!;Sib 1 d 4h;14.d;Sample;;6/23/2025 5:54 PM;3.233;9.9272;;8172.93;3.236;0.0079;;7.04;4.296;5.0601;;6427.43;4.301;0.0073;;14.14;4.658;0.0038;;25.35;4.744;3.1883;;13463.99;4.93;2.4931;;17504.63;4.925;0.011;;14.18;4.987;2.6486;;14914.99;4.966;0.0072;;46.25;5.118;9.9278;;8448.62;5.114;0.0008;;38.44;5.965;0.011;;19.86;5.423;2.4063;;31649.31;5.527;0.0001;;2.62;5.574;0.0001;;16.22;5.672;0.0082;;22.75;5.669;3.3584;;12487.54;5.844;2.6243;;5576.41;5.84;0.0498;;7.14;5.979;0.0317;;165.76;5.999;2.4574;;5753.2;6.22;0.0271;;36.51;6.232;1.2854;;11037.19;6.342;0.0018;;12.24;6.373;0.0025;;1.51;6.426;1.8774;;149.47;6.617;1.2562;;4976;6.604;0.0017;;1.1;6.677;1.4147;;3717.99;6.702;0.0007;;1.36;6.795;0.064;;184.25;6.814;2.5175;;7157.91;6.866;0.8759;;1667.32;6.866;0.03;;98.48;6.886;0.016;;4.97;6.986;0.5581;;2535.52;6.922;0.0002;;2.1;7.197;0.0005;;12.72;7.573;0.1224;;3.02;7.355;0.1154;;1659.61;7.525;0.0004;;1.8;7.884;0.0159;;0.9;7.827;0;;3.21;8.077;0.1473;;157.56;7.924;0.0938;;4.01;8.494;0.0048;;139.09;8.5;1.6187;;670.18;9.724;1.1392;;134.98;9.738;0.8617;;34.98;9.845;0.0074;;12.13;9.863;0.2322;;589.36;10.057;0.0461;;2.04;10.073;0.6297;;462.18;10.117;1.2713;;10.46;10.195;0.0939;;619.25
!;!;Sib 1 d 6h;15.d;Sample;;6/23/2025 6:09 PM;3.233;9.9403;;6064.48;3.236;0.0098;;31.8;4.296;5.1434;;14997.15;4.312;0.008;;14.19;4.757;0.0081;;32.26;4.744;3.127;;5276.89;4.93;2.4857;;7928.73;4.934;0.0128;;45.81;4.987;2.6707;;28546.05;4.999;0.0068;;60.53;5.118;10.2439;;8977.84;5.097;0.0007;;17.36;5.404;0.0017;;11.75;5.423;2.4181;;4769.28;5.453;0.0003;;49;5.566;0.0001;;11.42;5.623;0.0028;;3.39;5.66;3.3281;;3888.89;5.844;2.7025;;45752.18;5.832;0.0545;;32.74;6.004;0.0279;;149.29;5.999;2.5757;;10826.65;6.244;0.0313;;18.07;6.24;1.2475;;14182.73;6.35;0.0015;;4.95;6.635;0.08;;45.99;6.435;1.7719;;2635.38;6.617;1.2017;;8561.76;6.662;0.0037;;4.18;6.685;1.5093;;3212.07;6.744;0.0061;;20.57;6.812;0.0506;;81.34;6.806;2.4698;;3434.72;6.866;0.8278;;760.84;6.858;0.008;;4.73;6.861;0.0145;;1.51;6.995;0.5278;;2984.85;7.045;0.0002;;2.91;7.156;0.0002;;7.02;7.334;0.0292;;2.75;7.372;0.1133;;524.58;7.443;0.0011;;5.43;7.727;0.0218;;2.41;7.869;0.0002;;2.69;8.077;0.1159;;805.9;8.106;0.024;;3.1;8.511;0.0044;;37.29;8.5;1.6874;;654.87;9.724;1.2142;;747.69;9.738;0.2391;;3.23;9.87;0.0007;;1.84;9.863;0.2318;;286.05;9.932;0.0263;;2.01;10.073;0.5922;;814.31;10.1;0.6542;;14.47;10.204;0.1012;;509.77
!;!;Sib 1 d 8h;16.d;Sample;;6/23/2025 6:24 PM;3.233;9.903;;5178.09;3.228;0.0087;;11.17;4.296;5.1581;;8811.99;4.301;0.0082;;17.27;4.757;0.0039;;86.46;4.744;3.1363;;4806.18;4.93;2.4728;;6916.15;4.942;0.0097;;51.72;4.987;2.5473;;11072.28;4.966;0.0062;;51.97;5.118;10.3704;;8577.66;5.138;0.0012;;26.25;5.396;0.0021;;16.54;5.423;2.4343;;77191.28;5.585;0.0015;;10.58;5.574;0.0002;;39.97;5.408;0.0077;;23.39;5.669;3.0986;;5864.39;5.844;2.3893;;74395.7;5.84;0.0657;;7.45;5.979;0.0312;;84.57;5.991;2.4384;;12030.25;6.244;0.0379;;19.05;6.232;1.2602;;2871.29;6.391;0.0048;;12.4;6.397;0.0137;;1.95;6.426;1.5991;;1542.48;6.617;1.2943;;3210.07;6.612;0.0025;;1.89;6.677;1.451;;2688.02;6.736;0.0009;;2.58;6.795;0.0701;;104.44;6.814;2.5487;;5429.38;6.857;0.8044;;1015.23;6.85;0.007;;5.27;6.992;0.0303;;6.33;6.995;0.5542;;1237.22;7.086;0.0002;;15.4;7.205;0.0007;;7.02;7.557;0.4567;;4.85;7.372;0.1078;;157.1;7.492;0.0002;;1.08;7.727;0.0157;;2.54;7.852;0;;7.93;8.077;0.1226;;218.24;8.057;0.0481;;10.03;8.519;0.0034;;22.97;8.5;1.7077;;3389.79;9.724;1.3792;;142.81;9.696;0.1565;;7.37;9.87;0.0043;;2.14;9.855;0.2261;;1142.18;10.073;0.0311;;11.62;10.073;0.6478;;416.98;10.084;1.1842;;20.61;10.195;0.0968;;403.16
!;!;Sib 1 d 24h;17.d;Sample;;6/23/2025 6:40 PM;3.233;10.0355;;5742.99;3.219;0.0092;;7.35;4.296;5.1637;;10933.06;4.312;0.0086;;27.22;4.74;0.0028;;31.3;4.744;3.1502;;794.2;4.93;2.474;;71959.17;4.917;0.0116;;58.62;4.987;2.7039;;16957.13;4.983;0.0093;;161.72;5.126;10.1048;;8084.83;5.122;0.0008;;37.03;5.437;0.0032;;4.34;5.423;2.3913;;52509.29;5.527;0.0001;;3.58;5.533;0.0001;;9.29;5.648;0.0034;;4.46;5.669;3.5022;;6107.46;5.844;2.548;;11914.09;5.84;0.0601;;16.19;6.004;0.0344;;159.9;5.999;2.4917;;745.05;6.244;0.0395;;26.08;6.24;1.2417;;23553.08;6.432;0.0003;;2.89;6.397;0.0017;;2.84;6.426;1.7583;;1815.21;6.617;1.3183;;35757.6;6.621;0.0068;;8.67;6.677;1.5604;;2310.6;7.014;0.0057;;49.7;6.812;0.0473;;77.95;6.806;2.4304;;3839.14;6.857;0.8077;;1358.31;6.882;0.0219;;11.43;6.894;0.0539;;5.35;6.995;0.501;;4633.56;7.094;0.0001;;5.4;7.115;0.0001;;1.26;7.326;0.0231;;1.73;7.364;0.111;;805.04;7.5;0.0015;;22.89;7.694;0.0085;;1.06;7.935;0;;2.31;8.077;0.1738;;469.88;8.007;0.0792;;3.28;8.486;0.0076;;39.13;8.5;1.7565;;9206.65;9.724;1.3256;;451.17;9.738;0.3271;;55.22;9.87;0.0164;;7.84;9.863;0.2102;;1945.1;10.015;0.0163;;1.89;10.073;0.5748;;266.66;9.984;0.4745;;12.95;10.204;0.093;;2067.36
!;!;Sib 1 d 72h;18.d;Sample;;6/23/2025 6:55 PM;3.233;9.9147;;9010.96;3.253;0.0047;;14.71;4.296;5.0719;;41515.44;4.301;0.008;;7.44;4.749;0.0056;;14.58;4.744;3.2499;;6323.57;4.93;2.4524;;49626.73;4.934;0.0123;;93.51;4.987;2.6253;;9905.67;4.991;0.0097;;131.21;5.118;10.0017;;7849.81;5.138;0.001;;50.02;5.347;0.0004;;2.87;5.423;2.4615;;4693.58;5.684;0.0006;;6.01;5.574;0.0001;;9.4;5.639;0.0062;;127.49;5.669;3.345;;5274.47;5.844;2.5565;;31243.64;5.832;0.0693;;7.71;5.987;0.0285;;485.57;5.991;2.5157;;719.15;6.228;0.0425;;47.37;6.232;1.2647;;4785.63;6.4;0.0014;;7.85;6.29;0.0062;;9.39;6.426;1.938;;1768.28;6.609;1.2732;;530.55;6.621;0.0014;;1.71;6.677;1.55;;2674.55;6.76;0.0049;;4.07;6.812;0.0638;;215.59;6.798;2.4101;;5807.03;6.857;0.811;;1577.61;6.801;0.1243;;43.78;6.984;0.0638;;9.59;6.995;0.4884;;2017.67;7.078;0.0003;;11.18;7.336;0.0011;;2.62;7.4;0.0542;;10.46;7.364;0.1149;;528.94;7.402;0.0019;;16.06;7.9;0.0228;;2.57;7.902;0.0001;;3.98;8.085;0.1348;;203.02;7.973;0.0704;;2.13;8.503;0.0076;;24.96;8.5;1.81;;4368.71;9.724;1.2903;;125.18;9.738;0.1626;;10.44;10.052;0.0077;;2.53;9.855;0.2272;;804.17;10.032;0.0382;;19.95;10.073;0.6531;;350.8;9.993;0.356;;50.37;10.204;0.1066;;400.07
!;!;Sib 2 d 2h;19.d;Sample;;6/23/2025 7:10 PM;3.233;9.9972;;4527.2;3.236;0.0066;;4.38;4.296;5.1533;;5920.94;4.312;0.0091;;9.54;4.74;0.0094;;71.81;4.744;3.1676;;788.47;4.93;2.5191;;20740.33;4.934;0.0126;;20.8;4.987;2.6906;;12167.23;4.991;0.0052;;36.4;5.118;10.3812;;28317.68;5.13;0.0002;;23.97;5.421;0.0019;;7.94;5.423;2.4601;;12613.41;5.536;0.0008;;49.77;5.541;0.0001;;12.66;5.623;0.0025;;10.8;5.669;3.3746;;6366.29;5.844;2.5917;;43868.32;5.84;0.0395;;3.34;5.987;0.0221;;330.27;5.999;2.525;;13103.67;6.244;0.041;;19.06;6.232;1.1996;;7790.11;6.276;0.0024;;19.52;6.487;0.006;;1.6;6.435;1.3713;;1196.13;6.617;1.336;;7743.6;6.629;0.0044;;14.26;6.677;0.8133;;1903.4;6.702;0.0077;;13.99;6.812;0.0315;;34.58;6.814;2.4398;;3016.96;6.866;0.5168;;58.31;6.841;0.0387;;8.53;7.009;0.0263;;1.29;6.995;0.3563;;1103.33;7.029;0;;1.42;7.246;0.0012;;1.23;7.359;0.0691;;1.62;7.364;0.0918;;277.5;7.575;0.0007;;5.43;7.735;0.019;;4.41;7.819;0;;3.3;8.085;0.2083;;79.59;8.024;0.0359;;2.87;8.503;0.0037;;15.63;8.5;1.2647;;481.59;9.724;0.946;;792.95;9.721;0.0502;;1.74;9.853;0.0219;;5.3;9.855;0.1335;;227.27;10.015;0.0996;;3.57;10.081;0.4117;;219.53;10.109;0.3456;;4.01;10.195;0.0485;;79.38
!;!;Sib d 2 4h;20.d;Sample;;6/23/2025 7:25 PM;3.233;10.0274;;6636.86;3.236;0.0084;;10.88;4.296;5.1513;;13065.92;4.32;0.0061;;9.16;4.6;0.0011;;17.03;4.744;3.1176;;7472.11;4.93;2.4871;;14849.93;4.934;0.0111;;35.55;4.987;2.5862;;20958.13;5.007;0.0083;;35.23;5.118;10.3525;;8356.45;5.114;0.0009;;99.32;5.437;0.0026;;4.06;5.423;2.4046;;8208.23;5.445;0.0016;;8.33;5.558;0.0001;;3.36;5.491;0.0009;;2.45;5.669;3.0904;;9156.8;5.844;2.5864;;34681.73;5.84;0.0489;;6.87;5.996;0.0263;;598.78;5.999;2.4103;;8727.44;6.244;0.034;;11.65;6.232;1.2641;;5631.32;6.507;0.0003;;2.69;6.266;0.0165;;9.64;6.426;1.6482;;1519.83;6.617;1.337;;2787.24;6.612;0.0042;;2.93;6.677;1.5633;;14609.64;6.686;0.0059;;16.77;6.812;0.046;;125.45;6.814;2.4399;;378.08;6.866;0.7883;;1084.99;6.874;0.0421;;14.51;6.951;0.0359;;9.3;6.995;0.5125;;2566.59;7.135;0.0003;;13.88;7.123;0.0006;;6.4;7.031;0.29;;3.09;7.364;0.1297;;885.92;7.6;0.0008;;5.87;7.942;0.0355;;2.7;7.802;0.0001;;6.84;8.085;0.2464;;118.02;8.098;0.012;;3.08;8.494;0.0073;;20.83;8.5;1.6615;;6796.58;9.724;1.3572;;1898;9.763;0.3642;;19.72;9.953;0.0393;;6.48;9.863;0.1949;;820.71;10.04;0.009;;1.9;10.073;0.6294;;458.3;10.134;0.1852;;9.39;10.204;0.0912;;463.53
!;!;Sib d 2 6h;21.d;Sample;;6/23/2025 7:41 PM;3.233;9.9947;;6816.21;3.236;0.0074;;13.5;4.308;5.147;;28901.94;4.301;0.0074;;16.69;4.765;0.004;;146.4;4.744;3.3106;;3421.54;4.93;2.4388;;67046.09;4.934;0.013;;36.74;4.987;2.7078;;10570.65;4.999;0.0057;;83.62;5.118;10.2614;;25614.58;5.138;0.0008;;39.75;5.388;0.0015;;6.48;5.423;2.4201;;4732.78;5.519;0.0015;;12.56;5.599;0.0002;;42.86;5.656;0.0031;;8.39;5.669;3.3272;;3781.35;5.844;2.7497;;10455.07;5.832;0.0484;;10.79;6.013;0.0309;;722.33;5.999;2.5559;;778.8;6.228;0.0254;;29.23;6.232;1.2779;;798.62;6.424;0.0018;;12.67;6.331;0.0046;;2.85;6.435;1.7088;;1152.48;6.617;1.2053;;5884.4;6.621;0.0044;;7.61;6.677;1.5097;;204.38;6.727;0.0018;;1.6;6.779;0.0527;;129.34;6.814;2.444;;7446.25;6.857;0.8277;;1390;6.956;0.0277;;22.46;7.001;0.018;;1.31;7.003;0.4864;;833.31;7.07;0.0002;;6.58;7.156;0.0017;;21.81;7.376;0.0179;;4.07;7.364;0.1018;;1522.21;7.583;0.0012;;13.65;7.652;0.0188;;3.85;7.91;0.0001;;4.84;8.085;0.1071;;364.65;8.057;0.0672;;3.05;8.494;0.0056;;120.24;8.5;1.7886;;14194.51;9.724;1.1897;;119.21;9.821;0.1104;;8.29;9.787;0.0132;;2.57;9.863;0.2012;;2579.88;10.156;0.0335;;2.79;10.073;0.5713;;380.32;10.109;0.5292;;44.88;10.195;0.0802;;821.78
!;!;Sib d 2 8h;22.d;Sample;;6/23/2025 7:56 PM;3.233;10.0477;;6729.76;3.211;0.0108;;5.75;4.296;5.2145;;14424.31;4.312;0.0071;;14.08;4.608;0.0049;;18.13;4.744;3.1151;;1917.36;4.93;2.4916;;23072.19;4.925;0.0121;;80.69;4.987;2.705;;98987.61;4.999;0.0066;;33.93;5.118;10.613;;23393.32;5.13;0.0008;;43.14;5.973;0.0114;;15.5;5.423;2.528;;14503.6;5.643;0.0014;;57.87;5.607;0.0001;;33.29;5.631;0.0209;;18.06;5.669;3.3732;;3959.09;5.844;2.5241;;63838.04;5.84;0.0459;;8.19;5.996;0.0177;;92.58;5.999;2.4954;;16621.66;6.228;0.0296;;15.89;6.232;1.2658;;9267.94;6.441;0.0017;;5.3;6.373;0.0322;;1.54;6.426;1.7443;;1092.78;6.617;1.3086;;2874.19;6.612;0.0067;;3.78;6.677;1.5582;;2292.82;7.211;0.0068;;5.74;6.82;0.0438;;180.42;6.806;2.4126;;1825.66;6.857;0.9944;;2547.2;6.924;0.0597;;2.13;7.025;0.0516;;6.12;6.995;0.5563;;2362.53;7.111;0.0001;;1.8;7.164;0.003;;17.38;7.326;0.1052;;2.21;7.364;0.1213;;1417.26;7.675;0.0003;;2.09;7.644;0.0187;;2.09;7.794;0;;4.42;8.085;0.0939;;605.81;8.015;0.071;;3.75;8.494;0.0081;;42.71;8.5;1.7059;;681.05;9.724;1.2493;;133.95;9.746;0.3889;;16.29;9.87;0.0057;;5.85;9.863;0.1972;;38.09;10.032;0.0276;;6.62;10.073;0.6128;;372.82;10.042;0.0919;;10.54;10.204;0.0885;;180.82
!;!;Sib d 2 24h;23.d;Sample;;6/23/2025 8:11 PM;3.233;10.1035;;8784.4;3.211;0.0094;;54.76;4.296;5.17;;15516.19;4.312;0.0085;;62.65;4.74;0.0025;;38.15;4.744;3.3385;;14751.06;4.93;2.4902;;9597.03;4.934;0.0121;;22.48;4.987;2.6851;;14036.37;4.966;0.006;;28.59;5.118;10.1905;;8038.9;5.138;0.0011;;120.89;5.412;0.0008;;4.4;5.423;2.4499;;29522.92;5.453;0.0001;;4.89;5.574;0;;3.45;5.639;0.0102;;15.76;5.669;3.5505;;3564.81;5.844;2.4919;;41583.8;5.832;0.0593;;16.26;5.996;0.0311;;260.84;5.999;2.5478;;5471.28;6.236;0.0315;;13.12;6.232;1.2183;;6922.77;6.334;0.0011;;5.51;6.356;0.0189;;9.87;6.426;1.7704;;2165.64;6.617;1.2489;;5319.23;6.588;0.0029;;1.93;6.685;1.4551;;206.09;6.801;0.0007;;1.41;6.803;0.0412;;39.16;6.806;2.3192;;4412.24;6.866;0.7958;;607.14;6.94;0.0606;;21.85;7.05;0.0103;;5.68;6.995;0.506;;1727.32;6.914;0.0001;;1.94;7.09;0.0016;;5.81;7.277;0.0204;;1.21;7.347;0.1264;;1742.61;7.583;0.002;;6.68;7.735;0.011;;2.64;7.827;0.0001;;1.42;8.077;0.2135;;583.13;8.015;0.062;;3.38;8.494;0.0056;;58.08;8.5;1.6701;;644.38;9.724;1.2747;;1081.34;9.804;0.0626;;4.78;9.953;0.0193;;10.89;9.855;0.2089;;520.19;9.982;0.0383;;1.19;10.073;0.6091;;1295.37;10.1;0.4586;;5.71;10.204;0.0676;;59.6
!;!;Sib d 2 72h;24.d;Sample;;6/23/2025 8:26 PM;3.233;10.0305;;5517.94;3.236;0.0082;;9.29;4.296;5.2424;;16029.66;4.312;0.0057;;7.66;4.699;0.0007;;7.54;4.744;3.1442;;2181.65;4.93;2.4838;;5267.99;4.925;0.0125;;29.5;4.987;2.6201;;17370.75;4.983;0.0037;;34.7;5.118;10.3211;;8109.57;5.114;0.0009;;30.87;5.412;0.0026;;11.07;5.423;2.4876;;31794.85;5.511;0.0002;;4.65;5.583;0.0002;;74.65;5.639;0.0239;;61.08;5.669;3.2491;;5164.03;5.844;2.4536;;40182.09;5.84;0.066;;12.07;5.987;0.0241;;115.27;5.999;2.4458;;9084.42;6.236;0.0442;;14.05;6.24;1.3384;;31320.68;6.375;0.0015;;2.05;6.479;0.0075;;1.85;6.435;1.7624;;2284.68;6.617;1.3313;;9349.95;6.621;0.0029;;1.45;6.677;1.709;;2230.82;6.719;0.0043;;11.33;6.812;0.0561;;32.96;6.814;2.4059;;3486.53;6.857;0.8476;;2188.95;6.858;0.0678;;25.87;6.91;0.0358;;2.48;6.995;0.5581;;6773.38;7.102;0.0002;;3;7.296;0.0006;;4.93;7.458;0.0859;;1.94;7.364;0.1657;;911.19;7.667;0.0005;;9.08;7.71;0.0071;;7.84;7.761;0.0001;;12.17;8.085;0.645;;1170.8;8.04;0.0128;;7.61;8.486;0.006;;18.4;8.5;2.0033;;678.36;9.724;1.5681;;910.26;9.771;0.2198;;10.08;9.82;0.0047;;2.89;9.855;0.2438;;704.28;9.932;0.0216;;3.86;10.073;0.8216;;464.2;10.158;0.4282;;14.52;10.204;0.1087;;354.05
